sap_no,part_no,part_description,planned_output,is_active
30023536,P002711BLK,P002711BLK One Tooth Lock Row Paint,225,1
30023537,P002719BLK,P002719BLK Lock hook Paint,225,1
30023538,U000430BLU,U000430BLU Top cover Paint,225,1
30023539,U000429BLU,U000429BLU Body Paint,225,1
30023540,U000431BLU,U000431BLU Drawer Small Paint,225,1
30023541,U000432BLU,U000432BLU Drawer Big(Left) Paint,225,1
30023542,P002710BLU,P002710BLU Five Tooth Lock Row Paint,225,1
30023543,P002711BLU,P002711BLU One Tooth Lock Row Paint,225,1
30023544,P002719BLU,P002719BLU Lock hook Paint,225,1
30023545,U000430GRY,U000430GRY Top cover Paint,225,1
30023546,U000429GRY,U000429GRY Body Paint,225,1
30023547,U000431GRY,U000431GRY Drawer Small Paint,225,1
30023548,U000432GRY,U000432GRY Drawer Big(Left) Paint,225,1
30023549,P002710GRY,P002710GRY Five Tooth Lock Row Paint,225,1
30023550,P002711GRY,P002711GRY One Tooth Lock Row Paint,225,1
30023551,P002719GRY,P002719GRY Lock hook Paint,225,1
30023754,P002812,P002812 Top Side Left Bend,400,1
30023755,P002697,P002697 Top Side Right Bend,400,1
37002957,P002701,P002701 Top Panel Chest IPC,,1
40012177,CH-2607HGR,CH-2607HGR,25,1
40013805,CH-2607HGBLK,CH-2607HGBLK,25,1
40013807,CH-2607HGGRY,CH-2607HGGRY,25,1
40013809,CH-2607HGBLU,CH-2607HGBLU,25,1
